x,y,objectid,source,ext_id,cat1,cat2,cat3,org_name,name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,point_x,point_y
-118.435455016294,33.9307095966941,1674,LA County Department of Beaches and Harbors,,Arts and Recreation,Campgrounds,,Los Angeles County Department of Beaches and Harbors,Dockweiler State Beach,12001 Vista Del Mar,,Playa Del Rey,CA,,"Dockweiler Beach Recreational Vehicle Park: 310-322-6951 or 800-950-7275<br>
Dockweiler Beach Youth Center: 310-726-4128<br>
Visitors Center: 424-526-7900 <br>
Beaches and Harbors: 424-526-7777<br>
",http://beaches.lacounty.gov,,,1406,"Facilities: Recreational Vehicle Park, Dockweiler Youth Center (meeting and event room for rent), Fire Rings, Picnic Areas, Swimming, Surfing, Beach Bike Path, Volleyball, Restrooms, Showers, Hang Gliding
RV Park Reservations: <a href=""http://beaches.lacounty.gov/dockweiler-rv-park/""> Online Reservations </a>
Beach Bike Path: <a href=""http://beaches.lacounty.gov/la-county-beach-bike-path/""> Map Of Beach Bike Path (Marvin Braude Bike Trail) </a>
Hang Gliding Area: <a href=""http://file.lacounty.gov/dbh/cms1_149578.jpg""> Map of Hang Gliding Area </a>
Parking Lot Maps:
<ul>
	<li><a href=""http://file.lacounty.gov/dbh/cms1_145139.jpg""> Cover Sheet </a></li>
	<li><a href=""http://file.lacounty.gov/dbh/cms1_145137.jpg""> 62nd Avenue </a></li>
	<li><a href=""http://file.lacounty.gov/dbh/cms1_145136.jpg""> Lot 3 </a></li>
	<li><a href=""http://file.lacounty.gov/dbh/cms1_145135.jpg""> Lot 1 and 2 </a></li>
	<li><a href=""http://file.lacounty.gov/dbh/cms1_145140.jpg""> Entrance Gate </a></li>
	<li><a href=""http://file.lacounty.gov/dbh/cms1_145142.jpg""> Recreational Vehicle Park </a></li>
	<li><a href=""http://file.lacounty.gov/dbh/cms1_145141.jpg""> Grand Avenue </a></li>
	<li><a href=""http://file.lacounty.gov/dbh/cms1_145138.jpg""> Youth Center, Bluff, Hang Gliding Area </a></li>
</ul>",90293,http://egis3.lacounty.gov/lms/?p=1406,publish,33.93070963,-118.43545496,2017/07/19 00:43:43+00,info@bh.lacounty.gov,,6429574.54230538,1797450.23346023
-117.824323056756,33.9615721371063,11826,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Arthur Letts Campsite,Tonner Cyn Rd,,92823,,,909-,,,,12642,,,http://egis3.lacounty.gov/lms/?p=12642,publish,33.96157217,-117.824323,2010/11/02 02:50:56+00,,,6614942.67058414,1808442.22099064
-118.054317157151,34.0251384767437,11827,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Woodland Camp,9400 Siphon Rd,,90660,,,626-,,,,12643,,,http://egis3.lacounty.gov/lms/?p=12643,publish,34.02513851,-118.0543171,2010/11/02 02:50:56+00,,,6545211.69029573,1831533.21713139
-118.049540457311,34.245975626616,11828,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,West Fork Campground,Anf Road 2N24,,91024,,,818-,,,,12644,,,http://egis3.lacounty.gov/lms/?p=12644,publish,34.24597566,-118.0495404,2010/11/02 02:50:56+00,,,6546698.68436897,1911899.20534922
-118.07409441724,34.2531527363784,11829,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Valley Forge Trail Camp,Anf Road 2N24,,91024,,,818-,,,,12645,,,http://egis3.lacounty.gov/lms/?p=12645,publish,34.25315277,-118.07409436,2013/07/22 23:24:04+00,,,6539280.14047906,1914515.64827906
-118.109294157284,34.3425185369234,11830,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Monte Cristo Campground,Angeles Forest Hwy,,93550,,,818-,,,,12646,,,http://egis3.lacounty.gov/lms/?p=12646,publish,34.34251857,-118.1092941,2010/11/02 02:50:56+00,,,6528678.68005472,1947047.20132606
-117.670386157646,34.3099501170876,11831,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Upper Fish Fork Trail Camp,Off Anf 3N08,,92397,,,661-,,,,12647,,,http://egis3.lacounty.gov/lms/?p=12647,publish,34.30995015,-117.6703861,2010/11/02 02:50:56+00,,,6661206.66237356,1935340.21096057
-117.675545557729,34.3056718567158,11832,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Lower Fish Fork Campground,Off Anf 3N08,,92397,,,661-,,,,12648,,,http://egis3.lacounty.gov/lms/?p=12648,publish,34.30567189,-117.6755455,2010/11/02 02:50:56+00,,,6659653.66515148,1933778.21145989
-117.668301057459,34.3288086272695,11833,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Lupine Campground,Off Blue Ridge Fire Rd,,92397,,,661-,,,,12649,,,http://egis3.lacounty.gov/lms/?p=12649,publish,34.32880866,-117.668301,2010/11/02 02:50:56+00,,,6661813.66804931,1942205.20969772
-117.734164257604,34.3956069063594,11834,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Camp Big Pines,Big Pines Hwy,,93563,,,661-,,,,12650,,,http://egis3.lacounty.gov/lms/?p=12650,publish,34.39560694,-117.7341642,2010/11/02 02:50:56+00,,,6641864.65020464,1966455.20614514
-117.698208958043,34.3841987766795,11835,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Camp Centinela Valley,Big Pines Hwy,,93563,,,661-,,,,12651,,,http://egis3.lacounty.gov/lms/?p=12651,publish,34.38419881,-117.6982089,2010/11/02 02:50:56+00,,,6652723.67146556,1962334.20651315
-117.834367557929,34.326962146916,11836,HSIP Freedom Campgrounds,,Arts and Recreation,Campgrounds,,US Geological Survey (USGS) & LA County,Crystal Lake Campground,Crystal Lake Rd,,93563,,,626-9102848,,,,12652,,,http://egis3.lacounty.gov/lms/?p=12652,publish,34.32696218,-117.8343675,2010/11/02 02:50:56+00,,,6611677.65644489,1941409.2060404
