x,y,objectid,source,ext_id,cat1,cat2,cat3,org_name,name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,point_x,point_y
-118.56553679625,34.3868136757755,21522,HSIP Freedom Gnis_cultural_fe,1654866,Arts and Recreation,Golf Courses,,American Golf,Vista Valencia Golf Course,24700 Trevino Drive,,Valencia,CA,,661.253.1870,http://www.americangolf.com/CA/valencia-vista-valencia-golf-course,,,23776,"Vista Valencia Golf Course is located near Six Flags Magic Mountain and offers a fun and challenging golf experience for players of all levels.  This mid-length golf course illustrates a beautiful park setting with an island green and lakes. Also features a 9-Hole par three course, and 28 stall night lit driving range.",91355,http://egis3.lacounty.gov/lms/?p=23776,publish,34.38681371,-118.56553674,2011/03/22 23:10:16+00,,,6391048.31161521,1963629.10320157
-118.573697856593,34.4180518662336,21538,HSIP Freedom Gnis_cultural_fe,1744971,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Valencia Country Club,,,,,,,,,,23793,,,http://egis3.lacounty.gov/lms/?p=23793,publish,34.4180519,-118.5736978,2011/10/06 05:59:09+00,,,6388651.0352418,1975011.07617247
-118.474888855847,34.4025721365429,21542,HSIP Freedom Gnis_cultural_fe,1744934,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Friendly Valley Golf Course,,,,,,,,,,23797,,,http://egis3.lacounty.gov/lms/?p=23797,publish,34.40257217,-118.4748888,2011/10/11 21:42:02+00,,,6418423.59807189,1969222.32003348
-118.393964656005,33.910291467084,21663,HSIP Freedom Gnis_cultural_fe,1702760,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,El Segundo Golf Course,,,,,,,,,,23916,,,http://egis3.lacounty.gov/lms/?p=23916,publish,33.9102915,-118.3939646,2010/11/02 02:50:56+00,,,6442131.50242764,1789967.74251972
-118.41146585593,33.9572347666657,21664,HSIP Freedom Gnis_cultural_fe,1702781,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Westchester Golf Course,,,,,,,,,,23919,,,http://egis3.lacounty.gov/lms/?p=23919,publish,33.9572348,-118.4114658,2010/11/02 02:50:56+00,,,6436891.15562488,1807072.58823122
-118.488972656328,34.190560366643,21675,HSIP Freedom Gnis_cultural_fe,1654859,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Van Nuys Golf Course,,,,,,,,,,23931,,,http://egis3.lacounty.gov/lms/?p=23931,publish,34.1905604,-118.4889726,2010/11/02 02:50:56+00,,,6413800.03415631,1892088.55861889
-118.329521056144,34.0772321670208,21677,HSIP Freedom Gnis_cultural_fe,1654879,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Wilshire Country Club,,,,,,,,,,23933,,,http://egis3.lacounty.gov/lms/?p=23933,publish,34.0772322,-118.329521,2011/10/06 05:59:27+00,,,6461884.40616322,1850650.23696814
-118.729254655219,34.0977840664287,21678,HSIP Freedom Gnis_cultural_fe,1669933,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,The Crags Country Club,,,,,,,,,,23934,,,http://egis3.lacounty.gov/lms/?p=23934,publish,34.0977841,-118.7292546,2011/10/06 05:59:55+00,,,6340892.4280033,1858766.77355656
-118.532415655477,34.1598604164594,21679,HSIP Freedom Gnis_cultural_fe,1669951,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,El Caballero Country Club,,,,,,,,,,23935,,,http://egis3.lacounty.gov/lms/?p=23935,publish,34.15986045,-118.5324156,2014/05/22 01:07:02+00,,,6400603.37058905,1880983.19401865
-118.497028155849,34.1744496666752,21685,HSIP Freedom Gnis_cultural_fe,1654551,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Balboa Municipal Golf Course,,,,,,,,,,23940,,,http://egis3.lacounty.gov/lms/?p=23940,publish,34.1744497,-118.4970281,2010/11/02 02:50:56+00,,,6411334.99840397,1886237.60280114
-118.447302355718,34.0775086668526,21686,HSIP Freedom Gnis_cultural_fe,1654554,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Bel Air Country Club,,,,,,,,,,23941,,,http://egis3.lacounty.gov/lms/?p=23941,publish,34.0775087,-118.4473023,2011/10/06 05:59:32+00,,,6426218.39186548,1850888.67874847
-118.484802755811,34.0463980663284,21687,HSIP Freedom Gnis_cultural_fe,1654568,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Brentwood Country Club,,,,,,,,,,23942,,,http://egis3.lacounty.gov/lms/?p=23942,publish,34.0463981,-118.4848027,2011/10/06 06:00:00+00,,,6414808.0124553,1839619.71440981
-118.488138856311,34.1705609665538,21689,HSIP Freedom Gnis_cultural_fe,1654633,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Encino Municipal Golf Course,,,,,,,,,,23945,,,http://egis3.lacounty.gov/lms/?p=23945,publish,34.170561,-118.4881388,2010/11/02 02:50:56+00,,,6414016.83752847,1884809.27494915
-118.385910156417,33.9875123673058,21690,HSIP Freedom Gnis_cultural_fe,1654639,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Fox Hills Country Club,,,,,,,,,,23946,,,http://egis3.lacounty.gov/lms/?p=23946,publish,33.9875124,-118.3859101,2011/10/06 06:01:17+00,,,6444683.31983055,1818060.4291164
-118.347578156453,34.1452848666333,21691,HSIP Freedom Gnis_cultural_fe,1654693,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Lakeside Golf Club,,,,,,,,,,23947,,,http://egis3.lacounty.gov/lms/?p=23947,publish,34.1452849,-118.3475781,2010/11/02 02:50:56+00,,,6456501.99173123,1875434.15065481
-118.379795756042,33.7994602669707,21692,HSIP Freedom Gnis_cultural_fe,1654757,Arts and Recreation,Golf Courses,,US Geological Survey (USGS) & LA County,Palos Verdes Country Club,,,,,,,,,,23948,,,http://egis3.lacounty.gov/lms/?p=23948,publish,33.7994603,-118.3797957,2011/10/06 06:01:25+00,,,6446278.28678498,1749617.22774848
