x,y,objectid,source,ext_id,cat1,cat2,cat3,org_name,name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,point_x,point_y
-118.239180856235,34.0500127673013,1594,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,The Geffen Contemporary At Moca,125 North Central Ave.,,Los Angeles,CA,,,http://www.moca.org/museum/moca_geffen.php,,,1375,"A Former Police Car Warehouse In Little Tokyo Renovated By The Noted California Architect Frank O. Gehry, The Geffen Contemporary At Moca Offers 40,000 Square Feet Of Exhibition Space And A Branch Of The Moca Store.",90013,http://egis3.lacounty.gov/lms/?p=1375,publish,34.0500128,-118.2391808,2010/11/02 02:50:56+00,,,6489217.6963128,1840667.21297097
-118.250738356169,34.0532785170723,1619,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,The Museum Of Contemporary Art,250 South Grand Ave.,,Los Angeles,CA,,,www.moca.org,,,1401,"Designed By Arata Isozaki, Moca Grand Avenue Is Host To Elegant Underground Galleries, The Patinette Caft, The Flagship Location Of The Moca Store, And Staff Offices.",90012,http://egis3.lacounty.gov/lms/?p=1401,publish,34.05327855,-118.2507383,2010/11/02 02:50:56+00,,,6485719.67082855,1841864.21090506
-118.284602225546,33.7112212778672,1623,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Cabrillo Beach and Marine Aquarium,,,,CA,"Beach is open during daylight hours.

","<p>Aquarium: 310-548-7562  </p>
<p>Visitors Center: 310-305-9545 </p>
<p>Beaches and Harbors: 310-305-9503 </p> ",,"<a href=""http://www.parks.ca.gov""> California State Parks </a>","<a href=""http://watchthewater.org""> Live Beach Webcams </a>",1405,"<a href=""http://www.sanpedro.com/sp_point/cbrobch.htm""> Cabrillo Beach </a> is excellent for windsurfing and sailing.

<a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium </a> is located at 3720 Stephen S. White Drive, San Pedro, CA 90731.

<a href=""http://www.sanpedro.com/index.htm""> City of San Pedro </a>

Cabrillo Beach is managed by the City of Los Angeles.",,http://egis3.lacounty.gov/lms/?p=1405,publish,33.71122131,-118.28460217,2014/06/10 19:49:50+00,311@lacity.org,,6475109.60412222,1717408.9985299
-118.284602225546,33.7112212778672,1624,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Cabrillo Beach and Marine Aquarium,,,,CA,"Beach is open during daylight hours.

","<p>Aquarium: 310-548-7562  </p>
<p>Visitors Center: 310-305-9545 </p>
<p>Beaches and Harbors: 310-305-9503 </p> ",,"<a href=""http://www.parks.ca.gov""> California State Parks </a>","<a href=""http://watchthewater.org""> Live Beach Webcams </a>",1405,"<a href=""http://www.sanpedro.com/sp_point/cbrobch.htm""> Cabrillo Beach </a> is excellent for windsurfing and sailing.

<a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium </a> is located at 3720 Stephen S. White Drive, San Pedro, CA 90731.

<a href=""http://www.sanpedro.com/index.htm""> City of San Pedro </a>

Cabrillo Beach is managed by the City of Los Angeles.",,http://egis3.lacounty.gov/lms/?p=1405,publish,33.71122131,-118.28460217,2014/06/10 19:49:50+00,311@lacity.org,,6475109.60412222,1717408.9985299
-118.284602225546,33.7112212778672,1625,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Cabrillo Beach and Marine Aquarium,,,Los Angeles,CA,"Beach is open during daylight hours.

","<p>Aquarium: 310-548-7562  </p>
<p>Visitors Center: 310-305-9545 </p>
<p>Beaches and Harbors: 310-305-9503 </p> ",,"<a href=""http://www.parks.ca.gov""> California State Parks </a>","<a href=""http://watchthewater.org""> Live Beach Webcams </a>",1405,"<a href=""http://www.sanpedro.com/sp_point/cbrobch.htm""> Cabrillo Beach </a> is excellent for windsurfing and sailing.

<a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium </a> is located at 3720 Stephen S. White Drive, San Pedro, CA 90731.

<a href=""http://www.sanpedro.com/index.htm""> City of San Pedro </a>

Cabrillo Beach is managed by the City of Los Angeles.",,http://egis3.lacounty.gov/lms/?p=1405,publish,33.71122131,-118.28460217,2014/06/10 19:49:50+00,311@lacity.org,,6475109.60412222,1717408.9985299
-118.284602225546,33.7112212778672,1626,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Cabrillo Beach and Marine Aquarium,,,Los Angeles,CA,"Beach is open during daylight hours.

","<p>Aquarium: 310-548-7562  </p>
<p>Visitors Center: 310-305-9545 </p>
<p>Beaches and Harbors: 310-305-9503 </p> ",,"<a href=""http://www.parks.ca.gov""> California State Parks </a>","<a href=""http://watchthewater.org""> Live Beach Webcams </a>",1405,"<a href=""http://www.sanpedro.com/sp_point/cbrobch.htm""> Cabrillo Beach </a> is excellent for windsurfing and sailing.

<a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium </a> is located at 3720 Stephen S. White Drive, San Pedro, CA 90731.

<a href=""http://www.sanpedro.com/index.htm""> City of San Pedro </a>

Cabrillo Beach is managed by the City of Los Angeles.",,http://egis3.lacounty.gov/lms/?p=1405,publish,33.71122131,-118.28460217,2014/06/10 19:49:50+00,311@lacity.org,,6475109.60412222,1717408.9985299
-118.284602225546,33.7112212778672,1627,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Cabrillo Beach and Marine Aquarium,3800 Stephen M. White Drive,,,CA,"Beach is open during daylight hours.

","<p>Aquarium: 310-548-7562  </p>
<p>Visitors Center: 310-305-9545 </p>
<p>Beaches and Harbors: 310-305-9503 </p> ",,"<a href=""http://www.parks.ca.gov""> California State Parks </a>","<a href=""http://watchthewater.org""> Live Beach Webcams </a>",1405,"<a href=""http://www.sanpedro.com/sp_point/cbrobch.htm""> Cabrillo Beach </a> is excellent for windsurfing and sailing.

<a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium </a> is located at 3720 Stephen S. White Drive, San Pedro, CA 90731.

<a href=""http://www.sanpedro.com/index.htm""> City of San Pedro </a>

Cabrillo Beach is managed by the City of Los Angeles.",,http://egis3.lacounty.gov/lms/?p=1405,publish,33.71122131,-118.28460217,2014/06/10 19:49:50+00,311@lacity.org,,6475109.60412222,1717408.9985299
-118.284602225546,33.7112212778672,1628,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Cabrillo Beach and Marine Aquarium,3800 Stephen M. White Drive,,,CA,"Beach is open during daylight hours.

","<p>Aquarium: 310-548-7562  </p>
<p>Visitors Center: 310-305-9545 </p>
<p>Beaches and Harbors: 310-305-9503 </p> ",,"<a href=""http://www.parks.ca.gov""> California State Parks </a>","<a href=""http://watchthewater.org""> Live Beach Webcams </a>",1405,"<a href=""http://www.sanpedro.com/sp_point/cbrobch.htm""> Cabrillo Beach </a> is excellent for windsurfing and sailing.

<a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium </a> is located at 3720 Stephen S. White Drive, San Pedro, CA 90731.

<a href=""http://www.sanpedro.com/index.htm""> City of San Pedro </a>

Cabrillo Beach is managed by the City of Los Angeles.",,http://egis3.lacounty.gov/lms/?p=1405,publish,33.71122131,-118.28460217,2014/06/10 19:49:50+00,311@lacity.org,,6475109.60412222,1717408.9985299
-118.284602225546,33.7112212778672,1629,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Cabrillo Beach and Marine Aquarium,3800 Stephen M. White Drive,,Los Angeles,CA,"Beach is open during daylight hours.

","<p>Aquarium: 310-548-7562  </p>
<p>Visitors Center: 310-305-9545 </p>
<p>Beaches and Harbors: 310-305-9503 </p> ",,"<a href=""http://www.parks.ca.gov""> California State Parks </a>","<a href=""http://watchthewater.org""> Live Beach Webcams </a>",1405,"<a href=""http://www.sanpedro.com/sp_point/cbrobch.htm""> Cabrillo Beach </a> is excellent for windsurfing and sailing.

<a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium </a> is located at 3720 Stephen S. White Drive, San Pedro, CA 90731.

<a href=""http://www.sanpedro.com/index.htm""> City of San Pedro </a>

Cabrillo Beach is managed by the City of Los Angeles.",,http://egis3.lacounty.gov/lms/?p=1405,publish,33.71122131,-118.28460217,2014/06/10 19:49:50+00,311@lacity.org,,6475109.60412222,1717408.9985299
-118.284602225546,33.7112212778672,1630,LA City Recreation and Parks,,Arts and Recreation,Museums and Aquariums,,LA City Department Recreation and Parks,Cabrillo Beach and Marine Aquarium,3800 Stephen M. White Drive,,Los Angeles,CA,"Beach is open during daylight hours.

","<p>Aquarium: 310-548-7562  </p>
<p>Visitors Center: 310-305-9545 </p>
<p>Beaches and Harbors: 310-305-9503 </p> ",,"<a href=""http://www.parks.ca.gov""> California State Parks </a>","<a href=""http://watchthewater.org""> Live Beach Webcams </a>",1405,"<a href=""http://www.sanpedro.com/sp_point/cbrobch.htm""> Cabrillo Beach </a> is excellent for windsurfing and sailing.

<a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium </a> is located at 3720 Stephen S. White Drive, San Pedro, CA 90731.

<a href=""http://www.sanpedro.com/index.htm""> City of San Pedro </a>

Cabrillo Beach is managed by the City of Los Angeles.",,http://egis3.lacounty.gov/lms/?p=1405,publish,33.71122131,-118.28460217,2014/06/10 19:49:50+00,311@lacity.org,,6475109.60412222,1717408.9985299
