x,y,objectid,source,ext_id,cat1,cat2,cat3,org_name,name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,point_x,point_y
-118.266974746049,34.0431519768325,4907,HSIP Freedom Arenas_nba,,Arts and Recreation,Sports Venues,NBA,National Geospatial-Intelligence Agency (NGA),Staples Center,1111 South Figueroa Street,,Los Angeles,CA,,(213) 742-7326,http://staplescenter.com/,,,5720,Home of the Los Angeles Lakers and Los Angeles Clippers.,90015,http://egis3.lacounty.gov/lms/?p=5720,publish,34.04315201,-118.26697469,2012/03/08 21:41:39+00,,,6480791.7604088,1838191.64344706
-118.70992005585,34.0385599662723,4908,HSIP Freedom Arenas_ncaa_div_,,Arts and Recreation,Sports Venues,NCAA Division 1 Basketbal,National Geospatial-Intelligence Agency (NGA),Firestone Fieldhouse (Pepperdine Wave,John Tyler Drive And Boanowsky,,Malibu,CA,,,,,,5721,,90263,http://egis3.lacounty.gov/lms/?p=5721,publish,34.03856,-118.70992,2010/11/02 02:50:56+00,,,6346593.55669288,1837172.62022264
-118.526270056356,34.2419199662538,4909,HSIP Freedom Arenas_ncaa_div_,,Arts and Recreation,Sports Venues,NCAA Division 1 Basketbal,National Geospatial-Intelligence Agency (NGA),The Matadome (Northridge State Matado,Zelzah Avenue And Plummer Stre,,Northridge,CA,,,,,,5722,,91325,http://egis3.lacounty.gov/lms/?p=5722,publish,34.24192,-118.52627,2010/11/02 02:50:56+00,,,6402618.87640056,1910835.94927365
-118.115130056691,33.7869399675564,4910,HSIP Freedom Arenas_ncaa_div_,,Arts and Recreation,Sports Venues,NCAA Division 1 Basketbal,National Geospatial-Intelligence Agency (NGA),Walter Pyramid (Long Beach State 49'E,Merrian Way And East Atherton,,Long Beach,CA,,,,,,5723,,90815,http://egis3.lacounty.gov/lms/?p=5723,publish,33.78694,-118.11513,2010/11/02 02:50:56+00,,,6526685.47964481,1744862.78351723
-118.44670005627,34.069989966451,4911,HSIP Freedom Arenas_ncaa_div_,,Arts and Recreation,Sports Venues,NCAA Division 1 Basketbal,National Geospatial-Intelligence Agency (NGA),Edwin W. Pauley Pavilion (Ucla Bruins,555 Westwood Plaza,,Los Angeles,CA,,,,,,5724,,90095,http://egis3.lacounty.gov/lms/?p=5724,publish,34.06999,-118.4467,2010/11/02 02:50:56+00,,,6426388.61921531,1848151.69603348
-118.279660055732,34.0209999669468,4912,HSIP Freedom Arenas_ncaa_div_,,Arts and Recreation,Sports Venues,NCAA Division 1 Basketbal,National Geospatial-Intelligence Agency (NGA),Galen Center (Usc Trojans),West Jefferson Boulevard And S,,Los Angeles,CA,,,,,,5725,,90007,http://egis3.lacounty.gov/lms/?p=5725,publish,34.021,-118.27966,2010/11/02 02:50:56+00,,,6476926.39412381,1830140.5683419
-118.415930055852,33.9687099668363,4913,HSIP Freedom Arenas_ncaa_div_,,Arts and Recreation,Sports Venues,NCAA Division 1 Basketbal,National Geospatial-Intelligence Agency (NGA),Albert Gersten Pavilion (Loyola Marym,Loyola Boulevard And Ignation,,Los Angeles,CA,,,,,,5726,,90045,http://egis3.lacounty.gov/lms/?p=5726,publish,33.96871,-118.41593,2010/11/02 02:50:56+00,,,6435554.65108006,1811254.19568165
-118.267160056391,34.0432099671954,4914,HSIP Freedom Arenas_nhl,,Arts and Recreation,Sports Venues,NHL,National Geospatial-Intelligence Agency (NGA),Staples Center,1111 South Figueroa Street,,Los Angeles,CA,,,,,,5727,,90015,http://egis3.lacounty.gov/lms/?p=5727,publish,34.04321,-118.26716,2010/11/02 02:50:56+00,,,6480735.67784381,1838212.89635731
-118.267160056391,34.0432099671954,4915,HSIP Freedom Arenas_wnba,,Arts and Recreation,Sports Venues,WNBA,National Geospatial-Intelligence Agency (NGA),Staples Center,1111 South Figueroa Stree,,Los Angeles,CA,,,,,,5728,,,http://egis3.lacounty.gov/lms/?p=5728,publish,34.04321,-118.26716,2010/11/02 02:50:56+00,,,6480735.67784381,1838212.89635731
-118.167940056543,34.1616299664619,11960,HSIP Freedom College_bowl_gam,,Arts and Recreation,Sports Venues,NCAA Division 1 bowl game,National Geospatial-Intelligence Agency (NGA),Rose Bowl,1001 Rose Bowl Drive,,Pasadena,CA,,,,,,12777,,91103,http://egis3.lacounty.gov/lms/?p=12777,publish,34.16163,-118.16794,2010/11/02 02:50:56+00,,,6510865.79409264,1881243.04323648
